Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,Num_of_Baskets,City,Weather,Temperature,Humidity,Occasion,Cluster Labels,Segment
malay,male,fat,29,yes,young,small,black,casual,orange,short_sleeve,blue,long,clothes,W6,D9,yes,30,2,11.0,1,Cyberjaya,Partly cloudy,28,78,Normal Day,2,Third
indian,male,thin,52,no,no_kids,big,yellow,casual,red,short_sleeve,purple,short,clothes,W4,D8,no,32,5,16.0,2,Kuala Lumpur,Partly cloudy,28,78,Normal Day,0,First
malay,female,thin,36,no,no_kids,big,blue,casual,white,long sleeve,green,long,clothes,W6,D10,yes,15,0,11.0,3,Kuala Lumpur,Partly cloudy,28,78,Normal Day,2,Third
malay,female,moderate,47,no,no_kids,big,black,casual,black,short_sleeve,blue,long,clothes,W4,D10,no,23,1,16.0,3,Putrajaya,Partly cloudy,28,78,Normal Day,0,First
foreigner,female,moderate,58,yes,toddler,small,black,formal,red,short_sleeve,black,short,clothes,W3,D8,no,54,2,16.0,3,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
malay,female,moderate,37,yes,toddler,big,orange,formal,orange,short_sleeve,purple,short,blankets,W3,D9,yes,53,4,14.0,3,Petaling,Passing clouds,28,78,Normal Day,1,Second
foreigner,male,thin,44,no,no_kids,small,grey,casual,brown,long sleeve,orange,short,blankets,W3,D10,no,46,2,16.0,1,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
malay,female,thin,50,yes,young,small,pink,formal,grey,long sleeve,purple,short,blankets,W4,D7,no,13,4,11.0,1,Petaling,Passing clouds,28,78,Normal Day,0,First
indian,male,fat,59,no,no_kids,big,black,formal,grey,short_sleeve,white,long,blankets,W3,D9,no,29,5,13.0,3,Petaling,Passing clouds,28,78,Normal Day,0,First
indian,male,moderate,58,yes,baby,small,white,traditional,orange,long sleeve,yellow,long,blankets,W5,D7,yes,12,5,18.0,2,Kuala Lumpur,Passing clouds,28,78,Normal Day,0,First
indian,male,moderate,27,yes,toddler,big,grey,traditional,grey,short_sleeve,black,long,clothes,W4,D10,no,40,5,19.0,2,Kuala Lumpur,Passing clouds,28,78,Normal Day,2,Third
chinese,male,thin,32,yes,young,small,pink,traditional,green,long sleeve,blue,short,blankets,W4,D10,no,32,3,9.0,2,Ampang,Passing clouds,28,78,Normal Day,2,Third
malay,female,fat,32,yes,toddler,small,white,traditional,red,short_sleeve,white,short,clothes,W3,D10,yes,28,5,14.0,1,Petaling Jaya,Passing clouds,28,78,Normal Day,2,Third
foreigner,male,thin,27,yes,toddler,small,brown,casual,black,long_sleeve,grey,short,clothes,W6,D8,yes,35,4,15.0,2,Petaling Jaya,Passing clouds,28,78,Normal Day,2,Third
indian,male,thin,44,no,no_kids,small,brown,formal,blue,long sleeve,red,long,blankets,W6,D10,yes,58,4,12.0,1,Petaling,Passing clouds,28,78,Normal Day,1,Second
chinese,male,thin,47,yes,baby,big,black,formal,purple,long sleeve,red,long,clothes,W6,D7,yes,29,3,16.0,2,Kuala Lumpur,Passing clouds,28,78,Normal Day,0,First
malay,female,thin,42,yes,baby,big,brown,traditional,green,long sleeve,yellow,short,clothes,W4,D10,no,45,0,7.0,2,Petaling,Passing clouds,28,78,Normal Day,1,Second
chinese,female,thin,32,no,no_kids,big,orange,casual,pink,short_sleeve,white,short,blankets,W5,D9,yes,34,0,18.0,1,Petaling,Passing clouds,28,78,Normal Day,2,Third
